Material,Material Type,Description,Base UOM,Material Group
10103002,ZSTO,"DRILL PIPE RH 2-7/8"" 10.4PPF DI/U",M,1
10103017,ZSTO,"DRILL PIPE 4-1/2"" 16.6PPF D I/U",M,1
10103034,ZSTO,"DRILL PIPE 5"" G",M,1
10103041,ZSTO,"DRILL PIPE 3-1/2"" 13.3PPF S-135 R II LH",M,1
10103042,ZSTO,"DRILL PIPE 3-1/2"" GRADE G-105,13.5PPF RH RANGE-II",NO,1
10103043,ZSTO,"DRILL PIPE 3-1/2"" S GD RH 13.3PPF RII",M,1
10103044,ZSTO,"DRILL PIPE 3-1/2"" ,G-105,EU, RH 13.3PPF, RH-II",M,1
10103051,ZSTO,"DRILL PIPE 2-3/8"" 6.65PPF G EU IF",M,1
10103054,ZSTO,"DRILL PIPE 2-3/8"" OD 6.65PPF G-105/R-II/EU/RH/API 5D",M,1
10103056,ZSTO,"DRILL PIPE 2-3/8"" 6 D-E-R11, 6.5PPF RH",M,1
10103058,ZSTO,"DRILL PIPE 5"" X 3"" HEAVY RANGE",M,1
10103059,ZSTO,"DRILL PIPE 3 1/2""X2-1/16,25.3PPF,HWDP",M,1
10103068,ZSTO,"DRILL PIPE 5"" OD HEAVY WEIGHT (RH)",NO,1
10103074,ZSTO,"DRILL PIPE 2-7/8"" 10.4PPF G EIU REG LH",M,1
10103077,ZSTO,"DRILL PIPE 2-7/8"" 10.4PPF G EU IF",M,1
10103079,ZSTO,"DRILL PIPE 2.7/8""GDG-105 R111 10.4PPF LH",M,1
10103080,ZSTO,"DRILL PIPE 2-7/8"" G-105 GD,R-III,LH,10.4PPF",M,1
10103081,ZSTO,"DRILL PIPE 2 7/8""EU,LH,10.4#,G-105,R-IITOOL JOINT 2.7/8""API IF(NC-31) 4.1/8""X2""",M,1
10103094,ZSTO,"DRILL PIPE 3-1/2"" 13.3PPF G EIU REG RH",M,1
10103102,ZSTO,"DRILL PIPE 3-1/2"",E-75 GD,R-II,13.3PPF",M,1
10103103,ZSTO,"DRILL PIPE 3-1/2"" 13.3PPF G EU FH",M,1
10103109,ZSTO,"DRILL PIPE SEAMLESS STEEL 3 1/2""OD 15.5PPF",M,1
10103153,ZSTO,"DRILL PIPE 3-1/2"",G-105 GD,R-III,13.3PPF",M,1
10103154,ZSTO,"DRILL PIPE 3-1/2"" 13.3PPF G-105 IF RH",M,1
10103204,ZSTO,"DRILL PIPE 5"" GD G 19.5PPF L/H",M,1
10103206,ZSTO,"DRILL PIPE 5"" 19.5PPF E-75",M,1
10103210,ZSTO,"DRILL PIPE RH 5"" 19.5PPF TJ IEU 5-1/2",M,1
10103211,ZSTO,"DRILL PIPE LH 5"" 19.5PPF TJ IEU 5-1/2",M,1
10103213,ZSTO,"DRILL PIPE  5"" 19.5PPF S-135 RH IEU",M,1
10103214,ZSTO,"DRILL PIPE, 5"" G-105 GD,R-II,19.5PPF",M,1
10103215,ZSTO,"DRILL PIPE, 5""S-135 GD,R-II,19.5PPF",M,1
10103216,ZSTO,"DRILL PIPE 5"" 19.5PPF E-105LH IEU TJ",M,1
10103217,ZSTO,"DRILL PIPE 5"" 19.5PPF G-105 IEU  LH",M,1
10103221,ZSTO,"DRILL PIPE 5"" 19.5PPF E-75 3  IN",M,1
10103224,ZSTO,"DRILL PIPE SHORT 5"" OD  19.5PPF 3MR LONG",NO,1
10103226,ZSTO,"DRILL PIPE SHORT 5"" OD 19.5PPF 4MR LONG",NO,1
10103232,ZSTO,"DRILL PIPE 5-1/2"" 21.9PPF D EIU REGTJ",M,1
10103233,ZSTO,"DRILL PIPE 5-1/2"" 21.9PPF G EIU FH",M,1
10103234,ZSTO,"DRILL PIPE 5"", 56 PPF,SPIRAL THICK WALL,R-II,",NO,1
10103241,ZSTO,"DRILL PIPE 5-1/2"" GD-G-105 R11 21.9PPF5-1/2 FH CON",M,1
10103294,ZSTO,"DRILL PIPE (RH) 6-5/8""OD,IEU,G-105,25.20PPF,RANGE-II,6-5/8'API FULL HOLE",M,1
10103297,ZSTO,"DRILL PIPE 6-5/8"" ,G-105 GD,R-II",M,1
10103298,ZSTO,DRILL PIPE 6-5/8 SPIRAL THICK WALL,NO,1
10103401,ZSTO,"DRILL PIPE 2-3/8"" LH 6.65PPF G EIU",M,1
10104001,ZSTO,JET AUGER 4-1/2 IN,M,1
10110501,ZSTO,"DRILL PIPE 2-7/8"" ,E-GD,R-I,10.4PPF,LH",M,1
16510095,ZSTO,"WELL HEAD ASSY 3CP 10000PSI 13 3/8""X9-5/8""X5-1/2""",ST,1
18110002,ZSTO,"SEAMLESS STEEL DRILL 4 1/2"", S.S. DRILL",M,1
19110502,ZSTO,"DRILL PIPE 2-7/8"" GD E R I L H 10.4PPF",M,1
19110503,ZSTO,"DRILL PIPE 2-7/8""G-105 GD,R-I,10.4PPF,RH",M,1
19110504,ZSTO,"DRILL PIPE 2-7/8""G-105 GD,R-I,10.4PPF,LH",M,1
20000001,ZSTO,"CASING PIPE 7"" XL ,29PPF 8 FEET INTEGRAL PUP",NO,2
20000002,ZSTO,"CASING PIPE 7"" XL,29PPF 10 FEET INTEGRAL PUP",NO,2
20000003,ZSTO,"CASING PIPE 7"" XL , 29PPF 6 FEET INTEGRAL PUP",NO,2
20000004,ZSTO,"CASING PIPE 5"" 18.00PPF L-80 XL PERFORATED",M,2
20000005,ZSTO,"CASING PIPE 7"" 29.00PPF L-80 BTC PERFORATED",M,2
20000006,ZSTO,"CASING PIPE 18-5/8""ODX0.435""W.T, 87.5PPF MULTI START THREAD CONNECTOR,J-55/X-56 GRADE",M,2
20000007,ZSTO,"CASING PIPE 20""ODX0.438""W.T., 94PPF MULTI START THREAD CONNECTOR,J-55/K-55/X-52 GRADE",M,2
20000008,ZSTO,"CASING PIPE 20""ODX0.625""W.T., 133PPF MULTI START THREAD CONNECTOR,X-56 GRADE",M,2
20000009,ZSTO,"CASING PIPE 30""ODX1""W.T. 310.01PPF MULTI START THREAD CONNECTOR,ASTM A252,GRII/API5LGRB",M,2
20000010,ZSTO,"CASING PIPE 26""ODX1""W.T., 267.25PPF MULTI START THREAD CONNECTOR,ASTM,A252GRII/API5LGRB",M,2
20000011,ZSTO,"CASING PIPE X-OVER 18-5/8""X0.435 W.T.87.5PPF,J55/X56 GR,BTC PINXBOX MULTI START THREAD",NO,2
20000012,ZSTO,"CASING PIPE X-OVER 18-5/8""X0.435 W.T.87.5PPF,J55/X56 GR,BTC BOX XPIN MULTI START THREAD",NO,2
20000013,ZSTO,"CASING PIPE 7"" 38.00PPF P-110 BTC BTC",M,2
20000014,ZSTO,"CASING PIPE 7"" 29.00PPF V-150 BTC",M,2
20000015,ZSTO,"CASING PIPE 7"" 26.00PPF J-55 BTC",M,2
20000016,ZSTO,"CASING PIPE 7"" 26.00PPF N-80 XL",M,2
20000017,ZSTO,"CASING PIPE 7""OD,Q-125, 29PPF XL",M,2
20000018,ZSTO,"CASING PIPE 5-1/2"" 23.00PPF P-110 BTC",M,2
20000019,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF N-80 PREMIUM JOINT",M,2
20000020,ZSTO,"CASING PIPE 7"" 26.00PPF N-80 PREMIUM JOINT",M,2
20000021,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 PREMIUM JT",M,2
20000022,ZSTO,"PREM CASING 9-5/8"",Q-125,53.5 # ABTC-II",M,2
20000023,ZSTO,"CASING PIPE 7"" 35PPF P110 PREMIUM CASING",M,2
20000024,ZSTO,"X/O 9-5/8"" Q125 53.5# BTC PIN XABTC BOXDRIFTED FOR 81/2""",NO,2
20000025,ZSTO,"X/O 9-5/8""Q125 53.5# ABTC PINX BTC BOX* DRIFTED FOR 81/2""",NO,2
20000026,ZSTO,"X/O 7"" P110, 35 # BTC PIN X Premium BOX",NO,2
20000027,ZSTO,"X/O 7"" P110, 35 # Premium PIN X BTC BOX",NO,2
20000028,ZSTO,"X/O 7"" P110, 35 #  XL PIN X Premium BOX",NO,2
20000029,ZSTO,"CASING PIPE 9 5/8"" P-110 47 PPF PREMIUM JOINT",M,2
20000031,ZSTO,"PREM CASING 9-5/8"", P-110 47 # HSL -HC",M,2
20000032,ZSTO,"CASING PIPE 7"" L-80 26 PPF PREMIUM JOINT",M,2
20000033,ZSTO,"CASING PIPE 5"", L-80, 18 PPF PREMIUM",M,2
20000034,ZSTO,"CASING PIPE 7"" L-80 26 PPF CR13 BTC",M,2
20000036,ZSTO,"PREM CASING 7"", L-80 13CR,26 # FOX PREM(Fox Premium)",M,2
20000037,ZSTO,"PREM CASING, 13-3/8"", C-95, 68#, HSL-HC (Hunting Seal Lock -HC)",M,2
20000038,ZSTO,"PREM CASING 7"", P-110, 29 PPF, HSL - HC (Hunting Seal Lock -HC)",M,2
20000039,ZSTO,"PREM CASING 5-1/2"", P -110, 20 #,HSL-HC(Hunting Seal Lock -HC)",M,2
20000040,ZSTO,"PREM CASING 5-1/2"", P-110, 23 #, HSL-HC(Hunting Seal Lock -HC)",M,2
20000041,ZSTO,"X/O 5-1/2""P-110,20 #HSL-HC PIN X XL BOX(Hunting Seal Lock -HC)",NO,2
20000042,ZSTO,"X/O 5-1/2"" P-110,20#XL PIN X HSL-HC BOX(Hunting Seal Lock -HC)",NO,2
20000043,ZSTO,"X/O 5-1/2"" P-110,23#XL PIN X HSL-HC BOX(Hunting Seal Lock -HC)",NO,2
20000044,ZSTO,"X/O 5-1/2"" P-110,23#HSL-HC PIN X XL BOX(Hunting Seal Lock -HC)",NO,2
20000045,ZSTO,"CASING PIPE 11-3/4"" 60.00PPF N-80 BTC FLUSH JOINT (COUPLING OD:12 IN)",M,2
20000046,ZSTO,"CASING PIPE 7"" 29 PPF CRA PREMIUM CRA ALLOY-28 (UNS N08028)",M,2
20000047,ZSTO,"CASING PIPE 9 5/8"",47PPF PREMIUM CRA ALLOY-28 (UNS N08028)",M,2
20000048,ZSTO,"CASING PIPE 16"" 84 PPF J-55/K-55 BTC",M,2
20000049,ZSTO,"PREM CASING 9-5/8"",Q-125,53.5 PPF TC-II(Atlas Bradford TC-II)",M,2
20000050,ZSTO,"PREM CASING 7"", P-110, 35.0 PPF, HSL-HC(Hunting Seal Lock -HC)",M,2
20000051,ZSTO,"PREM CASING 9-5/8"", P-110 47 PPF HSL-HC (HUNTING SEAL LOCK -HC)",M,2
20000052,ZSTO,"PREM CASING 9-5/8"", L-80 43.5PPF HSL-HC (HUNTING SEAL LOCK -HC)",M,2
20000053,ZSTO,"PREM CASING 9-5/8"", L-80 43.5PPF TSH3SB (TENARIS HYDRIL 3SB)",M,2
20000054,ZSTO,"PREM CASING 9-5/8"", L-80 47 PPF ,HSL-HC (HUNTING SEAL LOCK -HC)",M,2
20000055,ZSTO,"PREM CASING 5-1/2"", P-110, 20 PPF",M,2
20000056,ZSTO,"PREM CASING 7"" P-110 35PPF",M,2
20000057,ZSTO,"PREM CASING 9-5/8"", Q-125, 53.5 PPF",M,2
20000058,ZSTO,"PREM CASING 13-3/8"", C-95, 68 PPF",M,2
20000059,ZSTO,"PREM CASING 5-1/2"", P-110, 23 PPF",M,2
20000060,ZSTO,"PREM CASING 7"" L-80 13CR, 26 PPF",M,2
20000061,ZSTO,"PREM CASING 7"" P-110 29 PPF",M,2
20000062,ZSTO,"CASING PIPE 7"" 29 PPF P-110 BTC SHORT 5-6 METER",NO,2
20000063,ZSTO,"CASING PIPE 5-1/2"" 20.00PPF N-80 BTC SHORT 5-6 METER",NO,2
20000064,ZSTO,"CASING PIPE 5-1/2"" 20.00PPF P-110 BTC SHORT 5-6 METER",NO,2
20000065,ZSTO,"CASING PIPE 5"" 18.00PPF P-110 XL SHORT5-6 METER",NO,2
20000066,ZSTO,"PREM CASING 7"", L-80 29PPF PREM JOINT",M,2
20000067,ZSTO,"CASING PIPE 30"" OD, X-52, 1.5"" WT, MSC(MULTI START CONNECTOR) 456.57 PPF, RANGE-III",M,2
20000068,ZSTO,"CASING PIPE 20"", 133PPF, X-56, E-60 MT,0.625"" WT WITH MULTISTART DRILQUIP CONNECTOR",M,2
20000069,ZSTO,"CASING PIPE 30"", 310 PPF, B, LEOPARD SD MULTISTART OSI CONNECTOR, 1"" WT, PILE DRIVEN",M,2
20000070,ZSTO,"CASING PIPE 30"",457 #, X-52, LEOPARD SD MULTISTART OSI CONNECTOR,1.5"" WT, PILE DRIVE",M,2
20000071,ZSTO,"CASING PIPE 20"",94 #, X-52, LEOPARD SIF MULTISTART OSI CONNECTOR, 0.438"" WT",M,2
20000072,ZSTO,"CASING PIPE 18-5/8"",87.5 #, X56, LEOPADSIF  MULTISTART OSI CONNECTOR, 0.438"" WT",M,2
20000073,ZSTO,"PREM CASING 9-5/8"", L-80, 47 PPF ,TC-II (ATLAS BRADFORD TC-II)",M,2
20000074,ZSTO,"PREM CASING 7"", P-110, 29 PPF, TSH3SB (TENARIS HYDRIL 3SB)",M,2
20000075,ZSTO,"PREM CASING 9-5/8"", P-110, 47 PPF,TC-II (ATLAS BRADFORD TC-II)",M,2
20000076,ZSTO,"PREM CASING 9-5/8"", L-80, 13 CR, 47 PPF VAM TOP HC-ND",M,2
20000077,ZSTO,"CASING PIPE 36"", MSC BOX X BEVELEND** , ( X-52,1.5"" WT,RANG III-PIPE )",NO,2
20000078,ZSTO,"CASING PIPE 36"" MULTI START CONNECTOR PIN** (PIN CONNECTOR FOR 36"",1.5 WT CASING PIPE)",NO,2
20000079,ZSTO,"CASING PIPE 20"", MSC BOX X BEVELEND** , (X-56,0.625""WT,RANGE III-PIPE)",NO,2
20000080,ZSTO,"CASING PIPE 20""MULTISTART CONNECTOR PIN** , (PIN CONNECTOR FOR20"",0.625""WT CASING PIPE)",NO,2
20000081,ZSTO,"PREM CASING 9-5/8"",Q-125, 53.5#, TH-3SB (TENNARIS HYDRIL 3SB)",M,2
20000082,ZSTO,"PREM CASING 7"" L-80 23 PPF, HYD-563",M,2
20000083,ZSTO,"PREM CASING 7"", P-110, 29 PPF, ABTC-II(ATLAS BRADFORD TC-II)",M,2
20000084,ZSTO,"PREM CASING 7"", P-110, 35 PPF, ABTC-II(ATLAS BRADFORD TC-II)",M,2
20000085,ZSTO,"CASING PIPE 11-3/4"" 60.00PPF N-80,FLUSH JOINT",M,2
20000086,ZSTO,"CASING PIPE 9 5/8"" 47PPF L80 FLUSH JOINT ID 8.681"", MIN DRIFT 8.525""",M,2
20000087,ZSTO,"CASING PIPE 11-3/4"" R-95, 60 PPF FLUSHJOINT",M,2
20000088,ZSTO,"CASING PIPE 9 5/8"" R-95, 47 PPF FLUSH JOINT",M,2
20000089,ZSTO,"CASING PIPE 9-5/8"",Q-125, 53.5# FLUSH JT",M,2
20000090,ZSTO,"CASING PIPE 13-3/8"" 68 PPF R-95,BTC",M,2
20000091,ZSTO,"ERW/ SAW PIPE OF DIA 26 INCH X 1 INCH WT, API 5L GRADE-B, PLAIN END",M,2
20000092,ZSTO,"CASING PIPE 11-3/4"" R-95,60 PPF FJ, HSL HUNTING SEAL LOCK FLUSH CONNECTION",M,2
20000093,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF R-95 ABST-L FLUSH JOINT ABST-L CONNECTION",M,2
20000094,ZSTO,"CASING PIPE 11-3/4"" N-80,60 PPF FJ, HSL  HUNTING SEAL LOCK FLUSH CONNECTION",M,2
20000095,ZSTO,"CASING PIPE 9-5/8""Q-125,53.5# FJ ABST-L FLUSH JOINT, ATLASBRADFORD ST-L, CONNECTION",M,2
20000096,ZSTO,"CASING PIPE 9-5/8"" 47 PPF L-80, FJ,ABST-L FJ ATLAS BRADFORD ST-L CONNECTION",M,2
20000097,ZSTO,"CASING PIPE 5-1/2"",P110,20PPF ABTC-II,PREMIUM CONNECTION",M,2
20000098,ZSTO,"CASING PIPE 7"" 23.00PPF N-80 BTC",2X,2
20000099,ZSTO,"CASING PIPE 36"" OD, X-52, 1.5"" W.T. WITH MULTISTART CONNECTOR",M,2
20000100,ZSTO,"CASING PIPE 36"" OD, MSC BOX X BEVELEND1.5"" W.T, X-52 GRADE",NO,2
20000101,ZSTO,"CASING PIPE 30"" OD, X-52, 1"" W.T . WITH MULTISTART CONNECTOR",M,2
20000102,ZSTO,"CASING PIPE 20"" OD, X-56, 0.625"" W.T. WITH MULTISTART CONNECTOR",M,2
20000103,ZSTO,"CASING PIPE 20"" OD, MSC BOX X BEVEL END 0.625"" W.T X-56 GRADE",NO,2
20000104,ZSTO,"CASING PIPE 20"" OD, X-52, 0.438"" W.T. WITH MULTI START CONNECTOR",M,2
20000105,ZSTO,"PREM CASING 7"", 13CR L-80, 29 PPF, BGC",M,2
20000106,ZSTO,"CASING PIPE 7"" L-80, 29 PPF BTC SHORT LENGTH 5 M",NO,2
20000107,ZSTO,"CASING PIPE 20""OD,X-52,0.438""WT WITH LEOPARD SIF MULTI START CONNECTOR",M,2
20000108,ZSTO,"CASING PIPE 10-3/4"" 55.50PPF L-80 PREMIUM",M,2
20000109,ZSTO,"CASING PIPE 36""OD,X-52,1.5"" W.T. WITH RL-4RB MULTISTART CONNECTOR",M,2
20000110,ZSTO,"CASING PIPE 36""OD,X-52,1.5"" W.T. BEVELED END X RL-4RB BOX",NO,2
20000111,ZSTO,"CASING PIPE 30""OD,X-52,1"" W.T. WITH LEOPARD SD MULTISTART CONNECTOR",M,2
20000112,ZSTO,"CASING PIPE 20""OD,X-56,0.625"" W.T. WITH LEOPARD SIF MULTISTART CONNECTOR",M,2
20000113,ZSTO,"CASING PIPE 20""OD,X-56,0.625""W.T BEVELED END LEOPARD SIF MULTISTART THREAD BOX",NO,2
20000114,ZSTO,"CASING PIPE 5"", 18 PPF Q-125 PREMIUM",M,2
20000115,ZSTO,"CASING PIPE 5 1/2"" 23 PPF P-110 PREM CSG WITH ATLAS BRADFORD TC-II CONNECTION",M,2
20000116,ZSTO,"PREM CASING 9-5/8"", 13CR L-80, 43.5 PPF, BGC",M,2
20000117,ZSTO,"CASING PIPE 7"" OD 29PPF P-110 BTC PERFORATTED",M,2
20000118,ZSTO,"CASING PIPE 5-1/2"" OD 20PPF N-80 BTC PERFORATTED",M,2
20000119,ZSTO,"CASING PIPE 10-3/4"" 60.70PPF L-80 PREMIUM",M,2
20000120,ZSTO,"PREM CASING 7"" Q-125 35 PPF",M,2
20000121,ZSTO,"CASING PIPE 5"" 18.00PPF Q125 PREMIUM CASING PIPE WITH FLUSH JOINT",M,2
20000122,ZSTO,"CASING PIPE 13-3/8"" 68.00PPF PREMIUM JOINT R-95 GRADE",M,2
20000123,ZSTO,"CASING PIPE 5"",P-110, 18 PPF FLUSH JOINT",M,2
20000124,ZSTO,"CASING PIPE 5"", L-80, 18 PPF FLUSH JOINT",M,2
20000125,ZSTO,"CASING PIPE 5-1/2"" 20.00PPF L-80 BTC",M,2
20000126,ZSTO,"CASING PIPE 40"" SQUNCH-TYPE CONNECTORS",M,2
20000127,ZSTO,"CASING PIPE 20"" 94.00PPF X-52LEOPARD THREAD SHORT 6-9 METER",NO,2
20000128,ZSTO,"CASING PIPE 13-3/8"" 68.00PPF N80 BTC SHORT 6-9 METER",NO,2
20000129,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF N80 BTC SHORT 3-9 METER",NO,2
20000130,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF P-110 BTC SHORT 6 METER",NO,2
20000131,ZSTO,"CASING PIPE 5-1/2"" 20 PPF P-110 ABTC-II SHORT 3-9 METER",NO,2
20000132,ZSTO,"CASING PIPE 40""OD,X-52, 1"" W.T.VETCO-ST SQUNCH JOINT CONNECTOR",M,2
20000133,ZSTO,"CASING PIPE 18-5/8"" 0.435"" X-56 LEOPARD SIF",M,2
20000134,ZSTO,"CASING PIPE 13-3/8"" 68 PPF L80 BTC SHORT SHORT CASING PIPE 6 METERS",NO,2
